"","SID","Age","Sex","Experimenter","Entered.by","Language","Exclude","Exclude_reason","Knower_level","Counterbalance","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","CP_subset","Numerosity"
"189","113019-LK",5.059548255,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"190","113019-LK",5.059548255,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","5",8,"6","0","0","","CP","Large"
"191","113019-S2",4.032854209,"F","LAK","LAK","English",0,"","5","B","SHARING","Set-matching","1",4,"5","0","0","","Subset","Small"
"192","113019-S2",4.032854209,"F","LAK","LAK","English",0,"","5","B","SHARING","Set-matching","2",3,"5","0","0","","Subset","Small"
"193","113019-S2",4.032854209,"F","LAK","LAK","English",0,"","5","B","SHARING","Set-matching","3",8,"11","0","0","","Subset","Large"
"194","113019-S2",4.032854209,"F","LAK","LAK","English",0,"","5","B","SHARING","Set-matching","4",6,"13","0","0","","Subset","Large"
"195","113019-S2",4.032854209,"F","LAK","LAK","English",0,"","5","B","SHARING","Set-matching","5",10,"11","0","0","","Subset","Large"
"196","113019-MD",4.388774812,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","1",3,"3","1","0","","CP","Small"
"197","113019-MD",4.388774812,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","2",4,"4","1","0","","CP","Small"
"198","113019-MD",4.388774812,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","3",10,"8","0","0","","CP","Large"
"199","113019-MD",4.388774812,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","4",6,"6","1","0","","CP","Large"
"200","113019-MD",4.388774812,"M","LAK","LAK","English",0,"","CP","A","SHARING","Set-matching","5",8,"8","1","0","","CP","Large"
"201","112119-LM",3.189596167,"F","AMB","AMB","English",0,"","2","A","SHARING","Set-matching","1",3,"2","0","0","","Subset","Small"
"202","112119-LM",3.189596167,"F","AMB","AMB","English",0,"","2","A","SHARING","Set-matching","2",4,"2","0","0","","Subset","Small"
"203","112119-LM",3.189596167,"F","AMB","AMB","English",0,"","2","A","SHARING","Set-matching","3",10,"6","0","0","","Subset","Large"
"204","112119-LM",3.189596167,"F","AMB","AMB","English",0,"","2","A","SHARING","Set-matching","4",6,"7","0","0","","Subset","Large"
"205","112119-LM",3.189596167,"F","AMB","AMB","English",0,"","2","A","SHARING","Set-matching","5",8,"11","0","0","","Subset","Large"
